CHYGSU, G, 0, -inf, -inf, inf
2ZCM61, B, 1, inf, -inf, inf
5Q78OQ, G, 2, -inf, -inf, inf
465KYE, B, 3, inf, -inf, inf
5YL9XC, P, 4, -28, -inf, inf
465KYE, B, 3, -28, -inf, -28
5YL9XC, R, 4, -29, -inf, -28
465KYE, B, 3, -29, -inf, -29
5YL9XC, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
6P46U5, B, 4, -16, -inf, -29
465KYE, B, 3, -29, -inf, -29
6P46U5, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
6P46U5, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
6P46U5, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
9X7UIS, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
9X7UIS, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
9X7UIS, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
9X7UIS, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
FR7FXR, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
FR7FXR, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
FR7FXR, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
KHYO03, B, 4, -16, -inf, -29
465KYE, B, 3, -29, -inf, -29
KHYO03, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
KHYO03, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
KHYO03, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
KX7VYQ, B, 4, -16, -inf, -29
465KYE, B, 3, -29, -inf, -29
KX7VYQ, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
KX7VYQ, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
KX7VYQ, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
LW8WQ1, B, 4, -16, -inf, -29
465KYE, B, 3, -29, -inf, -29
LW8WQ1, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
LW8WQ1, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
LW8WQ1, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
N0MZPF, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
N0MZPF, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
N0MZPF, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
N0MZPF, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
YH0OY1, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
YH0OY1, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
YH0OY1, R, 4, -29, -inf, -29
465KYE, B, 3, -29, -inf, -29
YH0OY1, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
YTLZRN, B, 4, -16, -inf, -29
465KYE, B, 3, -29, -inf, -29
YTLZRN, G, 4, -25, -inf, -29
465KYE, B, 3, -29, -inf, -29
YTLZRN, P, 4, -28, -inf, -29
465KYE, B, 3, -29, -inf, -29
YTLZRN, Y, 4, -18, -inf, -29
465KYE, B, 3, -29, -inf, -29
5Q78OQ, G, 2, -29, -29, inf
465KYE, P, 3, inf, -29, inf
5YL9XC, B, 4, -15, -29, inf
465KYE, P, 3, -15, -29, -15
5YL9XC, R, 4, -28, -29, -15
465KYE, P, 3, -28, -29, -28
5YL9XC, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
6P46U5, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
6P46U5, G, 4, -24, -29, -28
465KYE, P, 3, -28, -29, -28
6P46U5, P, 4, -27, -29, -28
465KYE, P, 3, -28, -29, -28
6P46U5, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
9X7UIS, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
9X7UIS, G, 4, -24, -29, -28
465KYE, P, 3, -28, -29, -28
9X7UIS, R, 4, -28, -29, -28
465KYE, P, 3, -28, -29, -28
9X7UIS, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
FR7FXR, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
FR7FXR, R, 4, -28, -29, -28
465KYE, P, 3, -28, -29, -28
FR7FXR, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
KHYO03, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
KHYO03, G, 4, -24, -29, -28
465KYE, P, 3, -28, -29, -28
KHYO03, P, 4, -27, -29, -28
465KYE, P, 3, -28, -29, -28
KHYO03, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
KX7VYQ, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
KX7VYQ, P, 4, -27, -29, -28
465KYE, P, 3, -28, -29, -28
KX7VYQ, R, 4, -28, -29, -28
465KYE, P, 3, -28, -29, -28
KX7VYQ, Y, 4, -17, -29, -28
465KYE, P, 3, -28, -29, -28
LW8WQ1, B, 4, -15, -29, -28
465KYE, P, 3, -28, -29, -28
LW8WQ1, P, 4, -27, -29, -28
465KYE, P, 3, -28, -29, -28
LW8WQ1, R, 4, -28, -29, -28
